author,content,poem name,age,type
wallace stevens,wallace stevens idea order key west collected poems copyright wallace stevens reprinted permission alfred knopf division random house inc,The Idea of Order at Key West,Modern,Nature
archibald macleish,archibald macleish immortal autumn collected poems copyright1985 estate archibald macleish reprinted permission houghton mifflin company rights reserved,Immortal Autumn,Modern,Nature
malcolm cowley,malcolm cowley long voyage blue juniata life copyright1985 malcolm cowley used permission viking penguin division penguin group usa inc,The Long Voyage,Modern,Nature
michael anania,michael anania memorial day selected poems copyright1994 michael anania used permission asphodel press acorn alliance,Memorial Day,Modern,Nature
michael anania,michael anania motet selected poems copyright1994 michael anania used permission asphodel press acorn alliance,Motet,Modern,Nature
ezra pound,hair still cut straight across foreheadi played front gate pulling flowers came bamboo stilts playing horse walked seat playing blue plums went living village chokan two small people without dislike suspicion fourteen married lord never laughed bashful lowering head looked wall called thousand times never looked back fifteen stopped scowling desired dust mingled yoursforever forever forever climb look sixteen departedyou went far ku en river swirling eddies gone five months monkeys make sorrowful noise overhead dragged feet went gate moss grown different mosses deep clear away leaves fall early autumn wind paired butterflies already yellow augustover grass west garden hurt grow older coming narrows river kiang please let know beforehand come meet youas far cho fu sa,The River-Merchants Wife: A Letter,Modern,Nature
sara teasdale,originally published poetry march,September Midnight,Modern,Nature
sara teasdale,since escape since endmy body utterly destroyed hand love loved friend body tended wept enjoyed since escape even mewho love life love sharp bear scent orchards rain seaand hours alone still sure prayersince darkness waits morelet go waves sweep shorein pride let sing last breath hours light lift head life loveri shall leave deadif way baffle death,Since There Is No Escape,Modern,Nature
kenneth slessor,kenneth slessor south country selected poems published harpercollins publishers australia used permission,South Country,Modern,Nature
louise bogan,louise bogan statue birds blue estuaries poems copyright1968 louise bogan used permission farrar straus giroux llc http us macmillan com fsg rights reserved,Statue and Birds,Modern,Nature
michael anania,michael anania river selected poems copyright1994 michael anania used permission asphodel press acorn alliance,from Stops Along the Western Bank of the Missouri River: Of the River Itself,Modern,Nature
michael anania,michael anania stratagem selected poems copyright1994 michael anania used permission asphodel press acorn alliance,A Strategem,Modern,Nature
conrad aiken,conrad aiken summer collected poems copyright1953 conrad aiken reprinted permission brandt hochman literary agents inc,Summer,Modern,Nature
paul laurence dunbar,know caged bird feels alas sun bright upland slopes wind stirs soft springing grass river flows like stream glass first bird sings first bud opes faint perfume chalice stealsi know caged bird feels know caged bird beats wingtill blood red cruel bars must fly back perch cling fain would bough swing pain still throbs old old scars pulse keener stingi know beats wing know caged bird sings ah wing bruised bosom sore beats bars would free carol joy glee prayer sends hearts deep core plea upward heaven flingsi know caged bird sings,Sympathy,Modern,Nature
kenneth slessor,kenneth slessor talbingo selected poems published harpercollins publishers australia used permission,Talbingo,Modern,Nature
wallace stevens,iamong twenty snowy mountains moving thing eye blackbird iii three minds like tree three blackbirds iiithe blackbird whirled autumn winds small part pantomime iva man woman one man woman blackbird one vi know prefer beauty inflections beauty innuendoes blackbird whistling viicicles filled long window barbaric glass shadow blackbird crossed fro mood traced shadow indecipherable cause viio thin men haddam imagine golden birds see blackbird walks around feet women viiii know noble accents lucid inescapable rhythms know blackbird involved know ixwhen blackbird flew sight marked edge one many circles xat sight blackbirds flying green light even bawds euphony would cry sharply xihe rode connecticut glass coach fear pierced mistook shadow equipage blackbirds xiithe river moving blackbird must flying xiiiit evening afternoon snowing going snow blackbird sat cedar limbs,Thirteen Ways of Looking at a Blackbird,Modern,Nature
george santayana,icalm sea course kept oh much calmer southern seas many nameless mates keen breezewafted mothers old wept souls children taken sleptare companions partners ease green souls autumn treesare silent spaces swept virgin body gave gentle breathuntainted gods grieve merit holy death shall loiter long friends living made goodlier live dead make easier die iiwith part hath passed away peopled forest minda tree made leafless wintry windshall never green array chapel fireside country road bay something friendliness resigned another would could find grown much older day yet treasure memoryyour gift charity mellow ease dear honour amity mine life rich scarce know part may greater keep rob iiiyour bark lies anchored peaceful bightuntil kinder wind unfurl sail docile spirit winged gale hath dawning fled light half know heaven deemed rightyour youth joy youth fail god hath still ever avail eternity hath borrowed delight long ago taught thoughts runwhere great things live lived yore eternal quiet float soar loves gathered one change parting revolution moon sun ivin deep heart chimes would still rungto toll passing dead time sadder mask death may spreadover face ever young bough falls trophies hungfalls soon lays flower crowned headmost royal dust leaf shedunhallowed unchiselled unsung though world never hearthe happy name one gently true chronicles write large fatal year yet loved though keep whatsoeer good rearin weak virtues monuments,To. W. P.,Modern,Nature
michael anania,michael anania tracings selected poems copyright1994 michael anania used permission asphodel press acorn alliance,Tracings,Modern,Nature
katherine mansfield,comes moment rarewhen cause find little voices airsound sea wind sea wind obeyand sighing sighing double notesof double basses content playa droning chord little throatsthe little throats sing riseup light lovely easeand kind magical sweet surpriseto hear know thesefor little voices bee fly leaf taps pod breaks breeze grass tops bending shrill quick sound insect makes,Voices of the Air,Modern,Nature
michael anania,michael anania waiting selected poems copyright1994 michael anania used permission asphodel press acorn alliance,Waiting There,Modern,Nature
archibald macleish,archibald macleish way station collected poems copyright1985 estate archibald macleish reprinted permission houghton mifflin company rights reserved,Way-Station,Modern,Nature
conrad aiken,conrad aiken surprised collected poems copyright1953 conrad aiken reprinted permission brandt hochman literary agents inc,When You Are Not Surprised,Modern,Nature
kenneth slessor,kenneth slessor winter dawn selected poems published harpercollins publishers australia used permission,Winter Dawn,Modern,Nature
d  h  lawrence,even iron put forth even iron iron age let us take heartseeing iron break bud seeing rusty iron puff clouds blossom almond tree decembers bare iron hooks sticking earth almond tree knows deadliest poison like snakein supreme bitterness upon iron upon steel odd flakes snow odd bits snow odd crumbs melting snow mistake sky iron steel flying heaven storming strange storming dense earthalong iron living steelin rose hot tips flakes rose pale snowsetting supreme annunciation world nay heart delicate super faith iron breaking rusty swords almond trees trees suffer like races long ages wander exiled live exile long ageslike drawn blades never sheathed hacked gone black alien trees alien lands yetthe heart blossom unquenchable heart blossom look many cicatrised frail vine none scarred frail yet see fling abroad fresh abandonfrom small wound stump even wilful obstinate gummy fig treecan kept hell burst like polyp prolixity almond tree exile iron age ancient southern earth whence vases baked amphoras craters cantharus oenochoe open hearted cylix bristling iron almond treesiron unforgotten iron dawn hearted ever beating dawn heart enveloped iron exile ages see come forth blossomfrom snow remembering heartin long nighted january long dark nights evening star sirius etna snow wind long night sweating drops blood long nighted gethsemaneinto blossom pride honey triumph exquisite splendour oh give tree life blossomand cross sprouting superb fearless flowers something must reassuring almond evening star snow wind long long nights memory far sun gentler lands faith heart smiles againand blood ripples untenable delight vindicated faith gethsemane blood iron pores unfolds unfolds pearls tenderness budand great sacred forthcoming steps forth steps one stridea naked tree blossom like bridegroom bathing dew divested cover frail naked utterly uncoveredto green night baying dog star etnas snow edged windand januarys loud seeming sun think iron fastnesssuddenly dare come naked perfection blossom beyond sword rust think stand full unfolded nudity smiling snow wind sun glare dog star baying epithalamion oh honey bodied beautiful one come forth iron red heart fragile tender fragile tender life body fearless iron time much prouder disdainful reluctances distance like hoar frost like silvery ghosts communing green hill hoar frost like mysterious garden raying outwith body like spray dawn tender looking aboutwith insuperable subtly smiling assurance sword blade born unpromised bounds set flaked come unpromised tree life divine fearing nothing life blissful corewithin iron earth knots pink fish silveryin heaven blue blue heaven soundless bliss full wide rayed honey bodied red core red core knotted heaven upon fine light open open five times wide open six times wide open given perfect red core last sore heartedness sore hearted looking,Almond Blossom,Modern,Nature
wallace stevens,wallace stevens anecdote jar collected poems copyright wallace stevens used permission alfred knopf imprint knopf doubleday publishing group division random house llc rights reserved,Anecdote of the Jar,Modern,Nature
archibald macleish,archibald macleish ars poetica collected poems copyright1985 estate archibald macleish reprinted permission houghton mifflin company rights reserved,Ars Poetica,Modern,Nature
d  h  lawrence,evening sitting terrace sun west beyond pisa beyond mountains carraradeparts world taken surprise tired flower florence gloom beneath glowingbrown hills surrounding arches ponte vecchioa green light enters stream flush west current obscure arno look see things flyingbetween day night swallows spools dark thread sewing shadows together circle swoop quick parabola bridge archeswhere light pushes sudden turning upon thing air dip water think swallows flying late swallows dark air life loopingyet missing pure loop twitch twitter elastic shudder flightand serrated wings sky like glove black glove thrown light falling back never swallows bats swallows gone wavering instant swallows gave way batsby ponte vecchio changing guard bats uneasy creeping ones scalpas bats swoop overhead flying madly pipistrello black piper infinitesimal pipe little lumps fly air voices indefinite wildly vindictive wings like bits umbrella bats creatures hang like old rag sleep disgustingly upside hanging upside like rows disgusting old ragsand grinning sleep bats china bat symbol happiness,Bat,Modern,Nature
hart crane,notes shall see truly blood remembering first invasion secrecy first encounters kind chieftain lover shade haunts lakes hills,from The Bridge: The Dance,Modern,Nature
carl sandburg,ithe bronze general grant riding bronze horse lincoln parkshrivels sun day motor cars whirr long processions going somewhere keep apppointment dinner matinees buying sellingthough dusk nightfall high waves pilingon slabs promenade along lake shore near seen general dare combers come closerand make ride bronze horse hoofs guns storm iii cross lincoln park winter night snow falling lincoln bronze stands among white lines snow bronze forehead meeting soft echoes newsies crying forty thousand men dead along yser bronze ears listening mumbled roar city bronze feet lithe indian bronze pony shakespeare seated long legs bronze garibaldi bronze cape hold places cold lonely snow night pedestals hold past midnight dawn,Bronzes,Modern,Nature
elinor wylie,elinor wylie cold blooded creatures selected works elinor wylie edited evelyn helmick hively kent ohio kent state university press reprinted permission kent state university press,Cold Blooded Creatures,Modern,Nature
edgar lee masters,wasted gardenwhere bodies drawn grassthat feeds flocks evergreensthat bear fruit along shaded walksvain sighs heard vainer dreams dreamedof close communion departed souls apple treei loved watched prunedwith gnarled handsin long long years roots northern spyto move chemic change circle life soil flesh tree living epitaphsof redder apples,Conrad Siever,Modern,Nature
d  h  lawrence,large dark hands windowlifted grasping golden lightwhich weaves way creeper leaves hearts delight ah leaves west west see redness comeover evenings burning breast tis wound love goes home woodbine creeps abroadcalling low lover sun lit flirt dayhas poised lips playand stolen kisses shallow gayof pollen gone away woos moth sweet low word broad wings hoverthen bright breast uncoverand yield honey drop lover yellow evening glowsaunters man farm leans looks low built shedwhere hangs swallows marriage bed bird lies warm wall glances quick startled eyestowards turns awayher small head making warm displayof red upon throat terrors swayher nests warm busy ball whose plaintive cry heard fliesin one blue stoop stiesinto evenings empty hall oh water hen beside rusheshide quaint unfading blushes still quick tail lie dead till distance folds ominous tread rabbit presses back ears turns back liquid anguished eyesand crouches low wild springspurts terror oncomingto choked back wire ringher frantic effort throttling piteous brown ball quivering fears ah soon large hard hands dies swings loose swing walk yet calm kindly eyesand ready open brown surpriseshould answer talkor tears surmise hear hand latch rise chairwatching door open flashes barehis strong teeth smile flashes eyesin smile like triumph upon careless wisehe flings rabbit soft table boardand comes towards ah uplifted swordof hand bosom oh broadblade hand raises face applaudhis coming raises face himand caresses mouth fingers still smell grimof rabbits fur god caught snare know fine wire round throat know let finger theremy pulse life letting nose like stoatwho sniffs joy drinks blood mouth comes mouth downhis dark bright eyes descend like fiery hoodupon mind mouth meets mine floodof sweet fire sweeps across drownwithin die find death good,Cruelty and Love ,Modern,Nature
hart crane,hart crane cutty sark complete poems hart crane edited marc simon copyright1933 liveright publishing corporation copyright1986 marc simon used permission liveright publishing,from Cutty Sark,Modern,Nature
marjorie pickthall,see grass full stars fallen brightness hearts shining gold rays shining whiteness buttercups honeyed hearts bees love clover love daisies danceall meadow blow blow happy winds singing summers praises field fielda dancing daisies,Daisy Time,Modern,Nature
archibald macleish,archibald macleish definition frontiers collected poems copyright1985 estate archibald macleish reprinted permission houghton mifflin company rights reserved,Definition of the Frontiers,Modern,Nature
hugh macdiarmid,hugh macdiarmid eemis stane selected poetry copyright1992 alan riach michael grieve reprinted permission new directions publishing corporation,The Eemis Stane,Modern,Nature
d  h  lawrence,spring comes bursts bonfires green wild puffing emerald trees flame filled bushes thorn blossom lifting wreaths smoke betweenwhere wood fumes watery flickering rushes amazed spring conflagrationof green fires lit soil earth blazeof growing sparks puff wild gyration faces people streaming across gaze fountain fire amongthis leaping combustion spring spirit tossedabout like shadow buffeted throngof flames shadow thats gone astray lost,The Enkindled Spring,Modern,Nature
louis untermeyer,never knew earth much goldthe fields run hillhoary old young buoyant blooms flame thrill golden fires yellowlo goodthis spendthrift world lavish god fringe wood blazing buttercup goldenrod beloved changed seeyour face grow mystical nightyou turned trembling worldand youwere white aye touched singing lips grow dumb fields absorb color entire becomea goddess standing world fire,Feuerzauber,Modern,Nature
carl sandburg,fog comeson little cat feet sits lookingover harbor cityon silent haunchesand moves,Fog,Modern,Nature
d  h  lawrence,rises morningi linger watch spreads bath cloth underneath windowand sunbeams catch herglistening white shoulders sides mellowgolden shadow glows asshe stoops sponge swung breastssway like full blown yellowgloire de dijon roses drips water shouldersglisten silver crumple uplike wet falling roses listenfor sluicing rain dishevelled petals window full sunlightconcentrates golden shadowfold fold glows asmellow glory roses,Gloire de Dijon,Modern,Nature
paul laurence dunbar,pray bare bare oh bough old oak tree go shade throw runs shudder leaves green best trow sap ran free veins say moonlight dim weird guiltless victims pains bent hear sigh shook gurgling moan trembled sore rode away left alone theyd charged old old crime set fast jail oh dog howl night long night wind wail prayed prayer swore oath raised hand sky beat hoofs smote ear steady tread drew nigh rides night night moonlit road spur keeps pace galling goad beat prison door ho keeper stay friends hold within fain would take away ride fast heels mind wrong care innocence rope bear long fooled jailer lying words fooled man lies bolts unbar locks drawn great door open flies taken jail hard fast ride leader laughs low throat halt trunk beside oh judge wore mask black doctor one white minister oldest son curiously bedight oh foolish man weep tis little space time come shall dread memry face feel rope bark weight grain feel throe final woe touch last pain never shall leaves come forth bough bears ban burned dread dried dead curse guiltless man ever judge rides rides goes hunt deer ever another rides soul guise mortal fear ever man rides hard never night stays feel curse haunted bough trunk haunted tree,The Haunted Oak,Modern,Nature
sara teasdale,dead bright aprilshakes rain drenched hair tho lean broken hearted shall care shall peace leafy trees peacefulwhen rain bends bough shall silent cold heartedthan,I Shall not Care,Modern,Nature
william butler yeats,arise go go innisfree small cabin build clay wattles made nine bean rows hive honey bee live alone bee loud glade shall peace peace comes dropping slow dropping veils morning cricket sings midnights glimmer noon purple glow evening full linnets wings arise go always night dayi hear lake water lapping low sounds shore stand roadway pavements grey hear deep hearts core,The Lake Isle of Innisfree,Modern,Nature
archibald macleish,archibald macleish lines prologue collected poems copyright1985 estate archibald macleish reprinted permission houghton mifflin company rights reserved,Lines for a Prologue,Modern,Nature
e  e  cummings,little treelittle silent christmas treeyou littleyou like flowerwho found green forestand sorry come away seei comfort youbecause smell sweetlyi kiss cool barkand hug safe tightjust mother would dont afraidlookthe spanglesthat sleep year dark boxdreaming taken allowed shine balls chains red gold fluffy threads put little armsand ill give holdevery finger shall ringand wont single place dark unhappythen youre quite dressedyoull stand window everyone seeand theyll stare oh youll proudand little sister take handsand looking beautiful treewell dance sing noel noel,[little tree],Modern,Nature
mina loy,copyright1996 estate mina loy rights reserved,Lunar Baedeker,Modern,Nature
hart crane,moonmoth grasshopper flee pageand still wing untarnished namewe pinion bodies assuageour envy freedomwe must maimbecause usurpers chagrinedand take wing scar hand names even clap wind must die understand dreamed men dropped names sangas praise build dayswith fin hoof wing sweetened fangstruck free holy one name always,A Name for All,Modern,Nature
hart crane,hart crane carib isle complete poems hart crane edited marc simon copyright1933 liveright publishing corporation copyright1986 marc simon used permission liveright publishing,O Carib Isle!,Modern,Nature
hugh macdiarmid,hugh macdiarmid excerpt raised beach selected poetry copyright1992 alan riach michael grieve reprinted permission new directions publishing corporation,from On a Raised Beach,Modern,Nature
louise bogan,need fear fallof harvest laddered reachof orchards tide gone ebbingfrom steep beach hold pains effronteryher bodys bulwark stern savage glass forseeanothers ravage gathered lost find lose possessed time oncewas loved men,Portrait,Modern,Nature
t  s  eliot,ithe winter evening settles downwith smell steaks passageways six oclock burnt ends smoky days gusty shower wrapsthe grimy scrapsof withered leaves feetand newspapers vacant lots showers beaton broken blinds chimney pots corner streeta lonely cab horse steams stamps lighting lamps iithe morning comes consciousnessof faint stale smells beerfrom sawdust trampled streetwith muddy feet pressto early coffee stands masqueradesthat time resumes one thinks handsthat raising dingy shadesin thousand furnished rooms iiiyou tossed blanket bed lay upon back waited dozed watched night revealingthe thousand sordid imagesof soul constituted flickered ceiling world came backand light crept shuttersand heard sparrows gutters vision streetas street hardly understands sitting along beds edge whereyou curled papers hair clasped yellow soles feetin palms soiled hands ivhis soul stretched tight across skiesthat fade behind city block trampled insistent feetat four five six oclock short square fingers stuffing pipes evening newspapers eyesassured certain certainties conscience blackened streetimpatient assume world moved fancies curledaround images cling notion infinitely gentleinfinitely suffering thing wipe hand across mouth laugh worlds revolve like ancient womengathering fuel vacant lots,Preludes,Modern,Nature
hart crane,willows carried slow sound sarabande wind mowed mead could never rememberthat seething steady leveling marshestill age brought sea flags weeds remembrance steep alcoveswhere cypresses shared noonstyranny drew hades almost mammoth turtles climbing sulphur dreamsyielded sun silt rippled themasunder much would bartered black gorgeand singular nestings hillswhere beavers learn stitch tooth pond entered quickly fledi remember singing willow rim finally memory things nurse city finally passedwith scalding unguents spread smoking dartsthe monsoon cut across deltaat gulf gates beyond dykesi heard wind flaking sapphire like summer willows could hold steady sound,Repose of Rivers,Modern,Nature
t  s  eliot,twelve oclock along reaches streetheld lunar synthesis whispering lunar incantationsdissolve floors memoryand clear relations divisions precisions every street lamp passbeats like fatalistic drum spaces darkmidnight shakes memoryas madman shakes dead geranium half past one street lamp sputtered street lamp muttered street lamp said regard womanwho hesitates towards light doorwhich opens like grin see border dressis torn stained sand see corner eyetwists like crooked pin memory throws high drya crowd twisted things twisted branch upon beacheaten smooth polishedas world gave upthe secret skeleton stiff white broken spring factory yard rust clings form strength lefthard curled ready snap half past two street lamp said remark cat flattens gutter slips tongueand devours morsel rancid butter hand child automatic slipped pocketed toy running along quay could see nothing behind childs eye seen eyes streettrying peer lighted shutters crab one afternoon pool old crab barnacles back gripped end stick held half past three lamp sputtered lamp muttered dark lamp hummed regard moon la lune ne garde aucune rancune winks feeble eye smiles corners smoothes hair grass moon lost memory washed smallpox cracks face hand twists paper rose smells dust old cologne alonewith old nocturnal smellsthat cross cross across brain reminiscence comesof sunless dry geraniumsand dust crevices smells chestnuts streets female smells shuttered rooms cigarettes corridorsand cocktail smells bars lamp said four oclock number door memory key little lamp spreads ring stair mount bed open tooth brush hangs wall put shoes door sleep prepare life last twist knife,Rhapsody on a Windy Night,Modern,Nature
archibald macleish,archibald macleish rock sea collected poems copyright1985 estate archibald macleish reprinted permission houghton mifflin company rights reserved,The Rock in the Sea,Modern,Nature
marjorie pickthall,winds waves riot loud foam put great quietand still home may lie ease wonderwhy old ship waits hark surge strong thunderof full straits look fishing fleet morning shadows like lost souls slide fog seals warningbetrays shoals watch deep sea liner climbingout bright west salmon sky wake shininglike terns breast never know done everwith old seas pride borne fight full endeavouron ebb tide,"The Sailor's Grave at Clo-oose, V.I.",Modern,Nature
edgar lee masters,maurice weep pine tree balmy air spring whispers sweet grass stars sparkle whippoorwill calls thou grievest soul lies rapturousin blest nirvana eternal light go good heart husband broods upon calls guilty love itell love less love himwrought destiny fleshi spirit spirit peace marriage heaven love,Sarah Brown,Modern,Nature
hugh macdiarmid,hugh macdiarmid sauchs reuch heuch hauch selected poetry copyright1992 alan riach michael grieve reprinted permission new directions publishing corporation,The Sauchs in the Reuch Heuch Hauch,Modern,Nature
marjorie pickthall,earth builds earthcastles towers earth saith earth shall yea though plan reapthe rye corn lo bond sleepere born yea though blind earth sowsfor fruit sheaf shall harvest leaf roseand dust leaf pride sword powerare needwho shall rule root flowerthe fall seed follow fleshin splendour tears shall rest clothe afreshin fulness years dream dust cameas dawn set free shall pass flower flameor foam sea earth builds earthcastles towers earth saith earth shall,A Saxon Epitaph,Modern,Nature
ezra pound,may self songs truth reckon journeys jargon harsh dayshardship endured oft bitter breast cares abided known keel many cares hold dire sea surge oft spentnarrow nightwatch nigh ships headwhile tossed close cliffs coldly afflicted feet frost benumbed chill chains chafing sighshew heart round hunger begotmere weary mood lest man know notthat dry land loveliest liveth list care wretched ice cold sea weathered winter wretched outcastdeprived kinsmen hung hard ice flakes hail scur flew heard naught save harsh seaand ice cold wave whiles swan cries games gannets clamour sea fowls loudness laughter mews singing mead drink storms stone cliffs beaten fell sternin icy feathers full oft eagle screamedwith spray pinion protectormay make merry man faring needy little believes aye winsome lifeabides mid burghers heavy business wealthy wine flushed weary oftmust bide brine neareth nightshade snoweth north frost froze land hail fell earth thencorn coldest nathless knocketh nowthe hearts thought high streamsthe salt wavy tumult traverse alone moaneth alway minds lustthat fare forth afar henceseek foreign fastness theres mood lofty man earths midst though given good youth greed deed daring king faithfulbut shall sorrow sea farewhatever lord hath heart harping ring havingnor winsomeness wife worlds delightnor whit else save waves slash yet longing comes upon fare forth water bosque taketh blossom cometh beauty berries fields fairness land fares brisker admonisheth man eager mood heart turns travel thinkson flood ways far departing cuckoo calleth gloomy crying singeth summerward bodeth sorrow bitter hearts blood burgher knows prosperous manwhat performwhere wandering widest draweth heart burst breast lock mood mid mere flood whales acre would wander wide earths shelter cometh oft eager ready crying lone flyer whets whale path heart irresistibly oer tracks ocean seeing anyhowmy lord deems dead lifeon loan land believe notthat earth weal eternal standethsave somewhat calamitousthat ere mans tide go turn twain disease oldness sword hatebeats breath doom gripped body every earl whatever speaking laud living boasteth last word work ere pass onward frame fair earth gainst foes malice daring ado men shall honour afterand laud beyond remain mid english aye ever lasting lifes blast delight mid doughty days little durable arrogance earthen riches come kings csarsnor gold giving lords like gone howeer mirth magnified whoeer lived life lordliest drear excellence delights undurable waneth watch world holdeth tomb hideth trouble blade layed low earthly glory ageth seareth man going earths gait age fares face paleth grey haired groaneth knows gone companions lordly men earth oergiven may flesh cover whose life ceaseth eat sweet feel sorry stir hand think mid heart though strew grave gold born brothers buried bodiesbe unlikely treasure hoard,The Seafarer,Modern,Nature
paul laurence dunbar,sky great dark clouds massing look far pregnant night hear solemn booming gunand catch gleaming random light tells ship seek passing passing tearful eyes souls deep hurt glassing would hail check ship ships stretch hands imploring cry aloud voice falls dead foot mine lips ghost doth reach vessel passing passing earth sky ocean surpassing heart mine soul dreads dark hope waythat may sight check speeding barkwhich sight sound passing passing,Ships that Pass in the Night,Modern,Nature
paul laurence dunbar,air gittin cool coolah frost comin de night hicka nuts wanuts fallin possum keepin sight tukey struttin de banyad nary step proud ez keep struttin mistah tukey yo know whut time cidah press commence squeakin eatin apples stoed away chillun swamin roun lak honets huntin aigs ermung de hay mistah tukey keep gobblin de geese flyin souf oomph dat bird know whuts comin ef hed shet mouf pumpkin gittin good yallah mek open eyes seems lak lookin jes lain dah sayin pies tukey gobbler gwine roun blowin gwine roun gibbin sass slack keep talkin mistah tukey aint seed almanac famer walkin thoo de banyad seein things comin sees ef de fowls fattnin good times comin shos bon hyeahs dat tukey gobbler braggin den face break smilenebbah min sassy rascal hes gwine nab atter choppin suet de kitchen stonin raisins de hall beef cookin fu de mince meat spices grouni smell em look hyeah tukey stop dat gobblin luned de sense ob feah ol fool yo naiks dangah know thanksgibbins hyeah,Signs of the Times,Modern,Nature
paul laurence dunbar,wintah summah snow er shine hits de ef kin call mine keep knee hadship frolic grief er caih content night day ef kin see whaihyou wait beside de way livin dyin smiles er teahs soul still free ef thoo de comin yeahsyou walk de worl wid bird song breeze wail chune er moan puny tings deyll ef wen seemin erlone knows yo heats wid,"Song (Wintah, summah, snow er shine)",Modern,Nature
william butler yeats,brawling sparrow eaves brilliant moon milky sky famous harmony leaves blotted mans image cry girl arose red mournful lipsand seemed greatness world tears doomed like odysseus labouring ships proud priam murdered peers arose instant clamorous eaves climbing moon upon empty sky lamentation leaves could compose mans image cry,The Sorrow of Love,Modern,Nature
marjorie pickthall,west slender moon lies low orion glimmers trees clearing earth even pace slow stately moving pleiades soft infinite darkness overheadhang jewel wise upon silver thread lonelier stars place calm lamps within distant southern sky planet dust upon edge space look upon fretful world ilook outer vastness unafraidand see stars sang earth made,Stars,Modern,Nature
hugh macdiarmid,hugh macdiarmid stony limits selected poetry copyright1992 alan riach michael grieve reprinted permission new directions publishing corporation,Stony Limits,Modern,Nature
carl sandburg,spot hillswith yellow balls autumn light prairie cornfieldsorange tawny gold clustersand called pumpkins last octoberwhen dusk fallenchildren join handsand circle round mesinging ghost songsand love harvest moon jack lanternwith terrible teethand children knowi fooling,Theme in Yellow,Modern,Nature
louis untermeyer,green miles leafy peace spreadover ranks unseen serried screening trenches deadand living men already buried rains beat torrents flowinto cold huddling cave beet fields grow fortress gentle grave morose impatient sick heart rasping nerves twitching muscles cannot even sleep startwith every twig snaps rustles sought always unseen foeover heads bullets fly fear snow silent shrapnel sky yonder colonel stalks grieves meeting storm thoughts stormy sit watch leavesfall torn crumpled army mourn every leaf lies though comrade slain shelter eyesof every prying aeroplane cloudy uniform stilling cannons earthly thunder huge artillery stormplows land pulls rain beats slowand slipping earth resists beets growranker redder,The Victory of the Beet-Fields,Modern,Nature
hart crane,hart crane voyages ii iii iv v vi complete poems hart crane edited marc simon copyright1933 liveright publishing corporation copyright1986 marc simon used permission liveright publishing,Voyages,Modern,Nature
hugh macdiarmid,hugh macdiarmid watergaw selected poetry copyright1992 alan riach michael grieve reprinted permission new directions publishing corporation,The Watergaw,Modern,Nature
d  h  lawrence,version quick sparks gorse bushes leaping little jets sunlight texture imitating flame exultant peewits sweeping lords desolate wastes sadness screamings proclaim rabbits handfuls brown earth lielow rounded mournful grass bitten quick asleep alive see imove arms hill bursts heaves spurting kick common flaunts bravely rushescrowds glittering king cups surge challenge blossoming bushes lazy streamlet pushesits curious course mildly wakes leaps laughs gushes deep pond old sheep dip dark overgrown willows cool brook ebbing slow naked steep soft lipof bank stand watching white shadow quivering fro gorse flowers shrivelled kissing lost without pulsing waters marigolds songs brook veins breasts love embossedwithered insolent soul would gone like flowers hot wind took soul like passionate woman turns filled remorseful terror man scorned lovefor eyes laughter burns runs ecstatic pliant folds rippling belly breast lights sunlit skin warm clinging air rich songs seven larks singing goes kissing glad soul wind blood comparetheir wandering happiness wind wasted liberty drifts sad oh water loves folds plays sways lifts sinks though living blood blood heaving woman holds owning supple body rare glad thing supremely good version quick sparks gorse bushes leapinglittle jets sunlight texture imitating flame exultant peewits sweeping triumphed oer ages screamings proclaim rabbits handfuls brown earth lielow rounded mournful turf bitten quick asleep living see ilift arms hill bursts heaves spurting kick common flaunts bravely rushescrowds glittering king cups surge challenge blossoming bushes lazy streamlet pusheshis bent course mildly wakes leaps laughs gushesinto deep pond old sheep dip dark overgrown willows cool brook ebbing slow naked steep soft lipof turf stand watching white shadow quivering fro gorse flowers shrivelled gone waters ceased marigolds gudgeon thing look upon white water wimples shadow strains like dog string run looks back like white dog master bank substance shadow shadow looking looking back water runs runs faster runs faster white dog dances quivers holding cord quite slack splendid substance shadow neither royally screams peewit may blobs burst laugh hear flick rabbits pants gorse say insects far near skin sunshine warm clinging airflushed songs seven larks singing goes kissing glad found everywherewe sought substantial touchstone caresses naked lad oh water loves folds plays sways lifts sinks murmurs oh marvellous stuff longer shadow holds meclose rolls enfolds touches never could touch enough sun substance yellow water blobs wings feathers crying mysterious ages peewits wheeling right good god takes substance rabbit lobsin confirmation hear sevenfold lark songs pealing,The Wild Common,Modern,Nature
william butler yeats,trees autumn beauty woodland paths dry october twilight watermirrors still sky upon brimming water among stonesare nine fifty swans nineteenth autumn come upon mesince first made count saw well finished suddenly mountand scatter wheeling great broken ringsupon clamorous wings looked upon brilliant creatures heart sore alls changed since hearing twilight first time shore bell beat wings head trod lighter tread unwearied still lover lover paddle coldcompanionable streams climb air hearts grown old passion conquest wander attend upon still drift still water mysterious beautiful among rushes build lakes edge pooldelight mens eyes awake dayto find flown away,The Wild Swans at Coole,Modern,Nature
